0.02:  34.76173,31.74671,170.8999,
ParticipantNo: 211a
ParticipantGen: 1
Date: 10/20/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_05
0.02:  33.6,210.1,187.1,
0.03:  33.6,210.1,187.1,box 1,10
0.05:  33.6,210.1,187.1,box 1,10
0.07:  33.6,210.1,187.1,box 1,10
0.08:  33.6,210.1,187.1,box 1,10
0.1:  33.6,210.1,187.1,box 1,10
0.12:  33.6,210.1,187.1,box 1,10
0.13:  33.6,210.1,187.1,box 1,10
0.15:  33.6,210.1,187.1,box 1,10
0.17:  33.6,210.1,187.1,box 1,10
0.18:  33.6,210.1,187.1,box 1,10
0.2:  33.6,210.1,187.1,box 1,10
0.22:  33.6,210.1,187.1,box 1,10
0.23:  33.6,210.1,187.1,box 1,10
0.25:  33.6,210.1,187.1,box 1,10
0.27:  33.6,210.1,187.1,box 1,10
0.28:  33.6,210.1,187.1,box 1,10
0.3:  33.6,210.1,187.1,box 1,10
0.32:  33.6,210.1,187.1,box 1,10
0.33:  33.6,210.1,187.1,box 1,10
0.35:  33.6,210.1,187.1,box 1,10
0.37:  33.6,210.1,187.1,box 1,10
0.38:  33.6,210.1,187.1,box 1,10
0.4:  33.6,210.1,187.1,box 1,10
0.42:  33.6,210.1,187.1,box 1,10
0.43:  33.6,210.1,187.1,box 1,10
0.45:  33.6,210.1,187.1,box 1,10
0.47:  33.6,210.1,187.1,box 1,10
0.48:  33.6,210.1,187.1,box 1,10
0.5:  33.6,210.1,187.1,box 1,10
0.52:  33.6,210.1,187.1,box 1,10
0.53:  33.6,210.1,187.1,box 1,10
0.55:  33.6,210.1,187.1,box 1,10
0.57:  33.6,210.1,187.1,box 1,10
0.58:  33.6,210.1,187.1,box 1,10
0.6:  33.6,210.1,187.1,box 1,10
0.62:  33.6,210.1,187.1,box 1,10
0.63:  33.6,210.1,187.1,box 1,10
0.65:  33.6,210.1,187.1,box 1,10
0.67:  33.6,210.1,187.1,box 1,10
0.68:  33.6,210.1,187.1,box 1,10
0.7:  33.6,210.1,187.1,box 1,10
0.72:  33.6,210.1,187.1,box 1,10
0.73:  33.6,210.1,187.1,box 1,10
0.75:  33.6,210.1,187.1,box 1,10
0.77:  33.6,210.1,187.2,box 1,10
0.78:  33.6,210.1,187.3,box 1,10
0.8:  33.6,210.1,187.4,box 1,10
0.82:  33.6,210.1,187.6,box 1,10
0.83:  33.6,210.1,187.7,box 1,10
0.85:  33.6,210.1,188,box 1,10
0.87:  33.6,210.1,188.3,box 1,10
0.88:  33.6,210.1,188.7,box 1,10
0.9:  33.6,210.1,188.9,box 1,10
0.92:  33.6,210.1,189.2,box 1,10
0.93:  33.6,210.1,189.6,box 1,10
0.95:  33.6,210.1,189.9,box 1,10
0.97:  33.6,210.1,190.2,box 1,10
0.98:  33.6,210.1,190.6,box 1,10
1:  33.6,210.1,190.8,box 1,10
1.02:  33.6,210.1,191,box 1,10
1.03:  33.6,210.1,191.1,box 1,10
1.05:  33.6,210.1,191.1,box 1,10
1.07:  33.6,210.1,191.1,box 1,10
1.08:  33.6,210.1,191.2,box 1,10
1.1:  33.6,210.1,191.4,box 1,10
1.12:  33.6,210.1,191.7,box 1,10
1.13:  33.6,210.1,191.9,box 1,10
1.15:  33.6,210.1,192.1,box 1,10
1.17:  33.6,210.1,192.3,box 1,10
1.18:  33.6,210.1,192.5,box 1,10
1.2:  33.6,210.1,192.7,box 1,10
1.22:  33.6,210.1,192.8,box 1,10
1.23:  33.6,210.1,193,box 1,10
1.25:  33.6,210.1,193.2,box 1,10
1.27:  33.6,210.1,193.2,box 1,10
