0.02:  193.7557,174.0436,94.20018,
ParticipantNo: 214
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_21
0.02:  112.6,113,173.8999,
0.03:  112.6,113,173.8999,box 5,5
0.05:  112.6,113,173.8999,box 5,5
0.06:  112.6,113,173.8999,box 5,5
0.08:  112.6,113,173.8999,box 5,5
0.1:  112.6,113,173.8999,box 5,5
0.11:  112.6,113,173.8999,box 5,5
0.13:  112.6,113,173.8999,box 5,5
0.15:  112.6,113,173.8999,box 5,5
0.16:  112.6,113,173.8999,box 5,5
0.18:  112.6,113,173.8999,box 5,5
0.2:  112.6,113,173.8999,box 5,5
0.22:  112.6,113,173.8999,box 5,5
0.23:  112.6,113,173.8999,box 5,5
0.25:  112.6,113,173.8999,box 5,5
0.27:  112.6,113,173.8999,box 5,5
0.28:  112.6,113,173.8999,box 5,5
0.3:  112.6,113,173.8999,box 5,5
0.32:  112.6,113,173.8999,box 5,5
0.33:  112.6,113,173.8999,box 5,5
0.35:  112.6,113,173.8999,box 5,5
0.37:  112.6,113,173.8999,box 5,5
0.38:  112.6,113,173.8999,box 5,5
0.4:  112.6,113,173.8999,box 5,5
0.42:  112.6,113,173.8999,box 5,5
0.43:  112.6,113,173.8999,box 5,5
0.45:  112.6,113,173.8999,box 5,5
0.47:  112.6,113,173.8999,box 5,5
0.48:  112.6,113,173.8999,box 5,5
0.5:  112.6,113,173.8999,box 5,5
0.52:  112.6,113,173.8999,box 5,5
0.53:  112.6,113,173.8999,box 5,5
0.55:  112.6,113,173.8999,box 5,5
0.57:  112.6,113,173.8999,box 5,5
0.58:  112.6,113,173.8999,box 5,5
0.6:  112.6,113,173.8999,box 5,5
0.62:  112.6,113,173.8999,box 5,5
0.63:  112.6,113,173.8999,box 5,5
0.65:  112.6,113,173.8999,box 5,5
0.67:  112.6,113,173.8999,box 5,5
0.68:  112.6,113,173.8999,box 5,5
0.7:  112.6,113,173.8999,box 5,5
0.72:  112.6,113,173.8999,box 5,5
0.73:  112.6,113,173.8999,box 5,5
0.75:  112.6,113,173.8999,box 5,5
0.77:  112.6,113,173.8999,box 5,5
0.78:  112.6,113,173.8999,box 5,5
0.8:  112.6,113,173.8999,box 5,5
0.82:  112.6,113,173.8999,box 5,5
0.83:  112.6,113,173.8999,box 5,5
0.85:  112.6,113,173.8999,box 5,5
0.87:  112.6,113,173.8999,box 5,5
0.88:  112.6,113,173.8999,box 5,5
0.9:  112.6,113,173.8999,box 5,5
0.92:  112.6,113,173.8999,box 5,5
0.93:  112.6,113,173.8999,box 5,5
0.95:  112.6,113,173.8999,box 5,5
0.97:  112.6,113,173.8999,box 5,5
0.98:  112.6,113,173.8999,box 5,5
1:  112.6,113,173.8999,box 5,5
1.01:  112.6,113,173.8999,box 5,5
1.03:  112.6,113,173.8999,box 5,5
1.05:  112.6,113,173.8999,box 5,5
1.07:  112.6,113,173.8999,box 5,5
1.08:  112.6,113,173.8999,box 5,5
1.1:  112.6,113,173.8999,box 5,5
1.12:  112.6,113,173.8999,box 5,5
1.13:  112.6,113,173.8999,box 5,5
1.15:  112.6,113,173.8999,box 5,5
1.17:  112.6,113,173.8999,box 5,5
1.18:  112.6,113,173.8999,box 5,5
1.2:  112.6,113,173.8999,box 5,5
1.22:  112.6,113,173.8999,box 5,5
1.23:  112.6,113,173.8999,box 5,5
1.25:  112.6,113,173.8999,box 5,5
1.27:  112.6,113,173.8999,box 5,5
1.28:  112.6,113,173.8999,box 5,5
1.3:  112.6,113,173.8999,box 5,5
1.32:  112.6,113,173.8999,box 5,5
1.33:  112.6,113,173.8999,box 5,5
1.35:  112.6,113,173.8999,box 5,5
1.37:  112.6,113,173.8999,box 5,5
1.38:  112.6,113,173.8999,box 5,5
1.4:  112.6,113,173.8999,box 5,5
1.42:  112.6,113,173.8999,box 5,5
1.43:  112.6,113,173.8999,box 5,5
1.45:  112.6,113,173.8999,box 5,5
1.46:  112.6,113,173.8999,box 5,5
1.48:  112.6,113,173.8999,box 5,5
1.5:  112.6,113,173.8999,box 5,5
1.51:  112.6,113,173.8999,box 5,5
1.53:  112.6,113,173.8999,box 5,5
1.55:  112.6,113,173.8999,box 5,5
1.56:  112.6,113,173.8999,box 5,5
1.58:  112.6,113,173.8999,box 5,5
1.6:  112.6,113,173.8999,box 5,5
1.61:  112.6,113,173.8999,box 5,5
1.63:  112.6,113,173.8999,box 5,5
1.65:  112.6,113,173.8999,box 5,5
1.67:  112.6,113,173.8999,box 5,5
1.68:  112.6,113,173.8999,box 5,5
1.7:  112.6,113,173.8999,box 5,5
1.72:  112.6,113,173.8999,box 5,5
1.73:  112.6,113,173.8999,box 5,5
1.75:  112.6,113,173.8999,box 5,5
1.77:  112.6,113,173.8999,box 5,5
1.78:  112.6,113,173.8999,box 5,5
1.8:  112.6,113,173.8999,box 5,5
1.82:  112.6,113,173.8999,box 5,5
1.83:  112.6,113,173.8999,box 5,5
1.85:  112.6,113,173.8999,box 5,5
1.87:  112.6,113,173.8999,box 5,5
1.88:  112.6,113,173.8999,box 5,5
1.9:  112.6,113,173.8999,box 5,5
1.92:  112.6,113,173.8999,box 5,5
1.93:  112.6,113,173.8999,box 5,5
1.95:  112.6,113,173.8999,box 5,5
1.97:  112.6,113,173.8999,box 5,5
1.98:  112.6,113,173.8999,box 5,5
2:  112.6,113,173.8999,box 5,5
2.02:  112.6,113,173.8999,box 5,5
2.03:  112.6,113,173.8999,box 5,5
2.05:  112.6,113,173.8999,box 5,5
2.06:  112.6,113,173.8999,box 5,5
2.08:  112.6,113,173.8999,box 5,5
2.1:  112.6,113,173.8999,box 5,5
2.11:  112.6,113,173.8999,box 5,5
2.13:  112.6,113,173.8999,box 5,5
2.15:  112.6,113,173.8999,box 5,5
2.17:  112.6,113,173.8999,box 5,5
2.18:  112.6,113,173.8999,box 5,5
2.2:  112.6,113,173.8999,box 5,5
2.22:  112.6,113,173.8999,box 5,5
2.23:  112.6,113,173.8999,box 5,5
2.25:  112.6,113,173.8999,box 5,5
2.27:  112.6,113,173.8999,box 5,5
2.28:  112.6,113,173.8999,box 5,5
2.3:  112.6,113,173.8999,box 5,5
2.32:  112.6,113,173.8999,box 5,5
2.33:  112.6,113,173.8999,box 5,5
2.35:  112.6,113,173.8999,box 5,5
2.37:  112.6,113,173.8999,box 5,5
2.38:  112.6,113,173.8999,box 5,5
2.4:  112.6,113,173.8999,box 5,5
2.42:  112.6,113,173.8999,box 5,5
2.43:  112.6,113,173.8999,box 5,5
2.45:  112.6,113,173.8999,box 5,5
2.47:  112.6,113,173.8999,box 5,5
2.48:  112.6,113,173.8999,box 5,5
2.5:  112.6,113,173.8999,box 5,5
2.52:  112.6,113,173.8999,box 5,5
2.53:  112.6,113,173.8999,box 5,5
2.55:  112.6,113,173.8999,box 5,5
2.57:  112.6,113,173.8999,box 5,5
2.58:  112.6,113,173.8999,box 5,5
2.6:  112.6,113,173.8999,box 5,5
2.62:  112.6,113,173.8999,box 5,5
2.63:  112.6,113,173.8999,box 5,5
2.65:  112.6,113,173.8999,box 5,5
2.67:  112.6,113,173.8999,box 5,5
2.68:  112.6,113,173.8999,box 5,5
2.7:  112.6,113,173.8999,box 5,5
2.72:  112.6,113,173.8999,box 5,5
2.73:  112.6,113,175.3999,box 5,5
2.75:  112.6,113,177.3999,box 5,5
2.77:  112.6,113,178.7,box 5,5
2.78:  112.6,113,179.3999,box 5,5
2.8:  112.6,113,179.8999,box 5,5
2.82:  112.6,113,180.5999,box 5,5
2.83:  112.6,113,182.2999,box 5,5
2.85:  112.6,113,185.2999,box 5,5
2.87:  112.6,113,189.2999,box 5,5
2.88:  112.6,113,195.7,box 5,5
2.9:  112.6,113,197.5999,box 5,5
2.92:  112.6,113,201.8999,box 5,5
2.93:  112.6,113,204.3999,box 5,5
2.95:  112.6,113,207,box 5,5
2.97:  112.6,113,209.6999,box 5,5
2.98:  112.6,113,212,box 5,5
3:  112.6,113,213.8999,box 5,5
3.02:  112.6,113,215.7999,box 5,5
3.03:  112.6,113,217.7999,box 5,5
3.05:  112.6,113,219.9999,box 5,5
3.07:  112.6,113,222.2,box 5,5
3.08:  112.6,113,224.7999,box 5,5
3.1:  112.6,113,228.1999,box 5,5
3.12:  112.6,113,232.3999,box 5,5
3.13:  112.6,113,237.9999,box 5,5
3.15:  112.6,113,240.0999,box 5,5
3.16:  112.6,113,241.0999,box 5,5
3.18:  112.6,113,243.9999,box 5,5
3.2:  112.6,113,246.2,box 5,5
3.22:  112.6,113,248.5,box 5,5
3.23:  112.6,113,251,box 5,5
3.25:  112.6,113,253.1,box 5,5
3.27:  112.6,113,254.5999,box 5,5
3.28:  112.6,113,255.4,box 5,5
3.3:  112.6,113,255.9,box 5,5
3.32:  112.6,113,256.8,box 5,5
3.33:  112.6,113,258.1,box 5,5
3.35:  112.6,113,260,box 5,5
3.37:  112.6,113,262.4,box 5,5
3.38:  112.6,113,264.8,box 5,5
3.4:  112.6,113,266.6,box 5,5
3.42:  112.6,113,267.4,box 5,5
3.43:  112.6,113,267.6,box 5,5
3.45:  112.6,113,267.6,box 5,5
3.47:  112.6,113,267.6,box 5,5
3.48:  112.6,113,267.6,box 5,5
3.5:  112.6,113,267.6,box 5,5
3.52:  112.6,113,267.6,box 5,5
3.53:  112.6,113,267.6,box 5,5
3.55:  112.6,113,267.6,box 5,5
3.57:  112.6,113,267.4,box 5,5
3.58:  112.6,113,267.2,box 5,5
3.6:  112.6,113,267,box 5,5
3.62:  112.6,113,266.7,box 5,5
3.63:  112.6,113,266.6,box 5,5
3.65:  112.6,113,266.5,box 5,5
3.67:  112.6,113,266.4,box 5,5
3.68:  112.6,113,266.3,box 5,5
3.7:  112.6,113,266.3,box 5,5
3.72:  112.6,113,266.3,box 5,5
3.73:  112.6,113,266.3,box 5,5
3.75:  112.6,113,266.3,box 5,5
3.77:  112.6,113,266.3,box 5,5
3.78:  112.6,113,266.3,box 5,5
3.8:  112.6,113,266.3,box 5,5
3.82:  112.6,113,266.3,box 5,5
