0.02:  193.6079,171.7357,91.9,
ParticipantNo: 216a
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_23
0.02:  131.5,152.1,271,
0.03:  131.5,152.1,271,box 3,4
0.05:  131.5,152.1,271,box 3,4
0.06:  131.5,152.1,271,box 3,4
0.08:  131.5,152.1,271,box 3,4
0.1:  131.5,152.1,271,box 3,4
0.11:  131.5,152.1,271,box 3,4
0.13:  131.5,152.1,271,box 3,4
0.15:  131.5,152.1,271,box 3,4
0.16:  131.5,152.1,271,box 3,4
0.18:  131.5,152.1,271,box 3,4
0.2:  131.5,152.1,271,box 3,4
0.21:  131.5,152.1,271,box 3,4
0.23:  131.5,152.1,271,box 3,4
0.25:  131.5,152.1,271,box 3,4
0.26:  131.5,152.1,271,box 3,4
0.28:  131.5,152.1,271,box 3,4
0.3:  131.5,152.1,271,box 3,4
0.31:  131.5,152.1,271,box 3,4
0.33:  131.5,152.1,271,box 3,4
0.35:  131.5,152.1,271,box 3,4
0.36:  131.5,152.1,271,box 3,4
0.38:  131.5,152.1,271,box 3,4
0.4:  131.5,152.1,271,box 3,4
0.42:  131.5,152.1,271,box 3,4
0.43:  131.5,152.1,271,box 3,4
0.45:  131.5,152.1,271,box 3,4
0.47:  131.5,152.1,271,box 3,4
0.48:  131.5,152.1,271,box 3,4
0.5:  131.5,152.1,271,box 3,4
0.52:  131.5,152.1,271,box 3,4
0.53:  131.5,152.1,271,box 3,4
0.55:  131.5,152.1,271,box 3,4
0.57:  131.5,152.1,271,box 3,4
0.58:  131.5,152.1,271,box 3,4
0.6:  131.5,152.1,271,box 3,4
0.61:  131.5,152.1,271,box 3,4
0.63:  131.5,152.1,271,box 3,4
0.65:  131.5,152.1,271,box 3,4
0.66:  131.5,152.1,271,box 3,4
0.68:  131.5,152.1,271,box 3,4
0.7:  131.5,152.1,271,box 3,4
0.71:  131.5,152.1,271,box 3,4
0.73:  131.5,152.1,271,box 3,4
0.75:  131.5,152.1,271,box 3,4
0.76:  131.5,152.1,271,box 3,4
0.78:  131.5,152.1,271,box 3,4
0.8:  131.5,152.1,271,box 3,4
0.81:  131.5,152.1,271,box 3,4
0.83:  131.5,152.1,271,box 3,4
0.85:  131.5,152.1,271,box 3,4
0.87:  131.5,152.1,271,box 3,4
0.88:  131.5,152.1,271,box 3,4
0.9:  131.5,152.1,271,box 3,4
0.92:  131.5,152.1,271,box 3,4
0.93:  131.5,152.1,271,box 3,4
0.95:  131.5,152.1,271,box 3,4
0.97:  131.5,152.1,271,box 3,4
0.98:  131.5,152.1,271,box 3,4
1:  131.5,152.1,271,box 3,4
1.02:  131.5,152.1,271,box 3,4
1.03:  131.5,152.1,271,box 3,4
1.05:  131.5,152.1,271,box 3,4
1.07:  131.5,152.1,271,box 3,4
1.08:  131.5,152.1,271,box 3,4
1.1:  131.5,152.1,271,box 3,4
1.12:  131.5,152.1,271,box 3,4
1.13:  131.5,152.1,271,box 3,4
1.15:  131.5,152.1,271,box 3,4
1.17:  131.5,152.1,271,box 3,4
1.18:  131.5,152.1,271,box 3,4
1.2:  131.5,152.1,271,box 3,4
1.22:  131.5,152.1,271,box 3,4
1.23:  131.5,152.1,271,box 3,4
1.25:  131.5,152.1,271,box 3,4
1.27:  131.5,152.1,271,box 3,4
1.28:  131.5,152.1,271,box 3,4
1.3:  131.5,152.1,271,box 3,4
1.32:  131.5,152.1,271,box 3,4
1.33:  131.5,152.1,271,box 3,4
1.35:  131.5,152.1,271,box 3,4
1.37:  131.5,152.1,271,box 3,4
1.38:  131.5,152.1,271,box 3,4
1.4:  131.5,152.1,271,box 3,4
1.42:  131.5,152.1,271,box 3,4
1.43:  131.5,152.1,271,box 3,4
1.45:  131.5,152.1,271,box 3,4
1.47:  131.5,152.1,271,box 3,4
1.48:  131.5,152.1,271,box 3,4
1.5:  131.5,152.1,271,box 3,4
1.51:  131.5,152.1,271,box 3,4
1.53:  131.5,152.1,271,box 3,4
1.55:  131.5,152.1,271,box 3,4
