0.02:  193.4113,171.7664,85.69999,
ParticipantNo: 218
ParticipantGen: 0
Date: 10/25/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_16
0.02:  13.2,153.35,101.8,
0.03:  13.2,153.35,101.8,box 3,10
0.05:  13.2,153.35,101.8,box 3,10
0.06:  13.2,153.35,101.8,box 3,10
0.08:  13.2,153.35,101.8,box 3,10
0.1:  13.2,153.35,101.8,box 3,10
0.11:  13.2,153.35,101.8,box 3,10
0.13:  13.2,153.35,101.8,box 3,10
0.15:  13.2,153.35,101.8,box 3,10
0.16:  13.2,153.35,101.8,box 3,10
0.18:  13.2,153.35,101.8,box 3,10
0.2:  13.2,153.35,101.8,box 3,10
0.21:  13.2,153.35,101.8,box 3,10
0.23:  13.2,153.35,101.8,box 3,10
0.25:  13.2,153.35,101.8,box 3,10
0.27:  13.2,153.35,101.8,box 3,10
0.28:  13.2,153.35,101.8,box 3,10
0.3:  13.2,153.35,101.8,box 3,10
0.32:  13.2,153.35,101.8,box 3,10
0.33:  13.2,153.35,101.8,box 3,10
0.35:  13.2,153.35,101.8,box 3,10
0.37:  13.2,153.35,101.8,box 3,10
0.38:  13.2,153.35,101.8,box 3,10
0.4:  13.2,153.35,101.8,box 3,10
0.42:  13.2,153.35,101.8,box 3,10
0.43:  13.2,153.35,101.8,box 3,10
0.45:  13.2,153.35,101.8,box 3,10
0.47:  13.2,153.35,101.8,box 3,10
0.48:  13.2,153.35,101.8,box 3,10
0.5:  13.2,153.35,101.8,box 3,10
0.52:  13.2,153.35,101.8,box 3,10
0.53:  13.2,153.35,101.8,box 3,10
0.55:  13.2,153.35,101.8,box 3,10
0.57:  13.2,153.35,101.8,box 3,10
0.58:  13.2,153.35,101.8,box 3,10
0.6:  13.2,153.35,101.8,box 3,10
0.62:  13.2,153.35,101.8,box 3,10
0.63:  13.2,153.35,101.8,box 3,10
0.65:  13.2,153.35,101.8,box 3,10
0.67:  13.2,153.35,101.8,box 3,10
0.68:  13.2,153.35,101.8,box 3,10
0.7:  13.2,153.35,101.8,box 3,10
0.72:  13.2,153.35,101.8,box 3,10
0.73:  13.2,153.35,101.8,box 3,10
0.75:  13.2,153.35,101.8,box 3,10
0.77:  13.2,153.35,101.8,box 3,10
0.78:  13.2,153.35,101.8,box 3,10
0.8:  13.2,153.35,101.8,box 3,10
0.82:  13.2,153.35,101.8,box 3,10
0.83:  13.2,153.35,101.8,box 3,10
0.85:  13.2,153.35,101.8,box 3,10
0.87:  13.2,153.35,101.8,box 3,10
0.88:  13.2,153.35,101.8,box 3,10
0.9:  13.2,153.35,101.8,box 3,10
0.92:  13.2,153.35,101.8,box 3,10
0.93:  13.2,153.35,101.8,box 3,10
0.95:  13.2,153.35,101.8,box 3,10
0.97:  13.2,153.35,101.8,box 3,10
0.98:  13.2,153.35,101.8,box 3,10
1:  13.2,153.35,101.8,box 3,10
1.02:  13.2,153.35,101.8,box 3,10
1.03:  13.2,153.35,101.8,box 3,10
1.05:  13.2,153.35,101.8,box 3,10
1.07:  13.2,153.35,101.8,box 3,10
1.08:  13.2,153.35,101.8,box 3,10
1.1:  13.2,153.35,101.8,box 3,10
1.12:  13.2,153.35,101.8,box 3,10
1.13:  13.2,153.35,101.8,box 3,10
1.15:  13.2,153.35,101.8,box 3,10
1.17:  13.2,153.35,101.8,box 3,10
1.18:  13.2,153.35,101.8,box 3,10
1.2:  13.2,153.35,101.8,box 3,10
1.22:  13.2,153.35,101.8,box 3,10
1.23:  13.2,153.35,101.8,box 3,10
1.25:  13.2,153.35,101.8,box 3,10
1.27:  13.2,153.35,101.8,box 3,10
1.28:  13.2,153.35,101.8,box 3,10
1.3:  13.2,153.35,101.8,box 3,10
1.32:  13.2,153.35,101.9,box 3,10
1.33:  13.2,153.35,102.5,box 3,10
1.35:  13.2,153.35,104.2,box 3,10
1.37:  13.2,153.35,106.5,box 3,10
1.38:  13.2,153.35,110.7,box 3,10
1.4:  13.2,153.35,117.4,box 3,10
1.42:  13.2,153.35,126.6,box 3,10
1.43:  13.2,153.35,137.5,box 3,10
1.45:  13.2,153.35,148.1,box 3,10
1.47:  13.2,153.35,156.6,box 3,10
1.48:  13.2,153.35,162.4,box 3,10
1.5:  13.2,153.35,166,box 3,10
1.52:  13.2,153.35,167.7,box 3,10
1.53:  13.2,153.35,168.1,box 3,10
1.55:  13.2,153.35,168.1,box 3,10
1.56:  13.2,153.35,168.1,box 3,10
1.58:  13.2,153.35,168.1,box 3,10
1.6:  13.2,153.35,168.2,box 3,10
1.62:  13.2,153.35,168.2,box 3,10
1.63:  13.2,153.35,168.2,box 3,10
1.65:  13.2,153.35,168.2,box 3,10
1.67:  13.2,153.35,168.2,box 3,10
1.68:  13.2,153.35,168.2,box 3,10
1.7:  13.2,153.35,167.6,box 3,10
1.72:  13.2,153.35,164.5,box 3,10
1.73:  13.2,153.35,150.7,box 3,10
1.75:  13.2,153.35,133.5,box 3,10
1.77:  13.2,153.35,112.6,box 3,10
1.78:  13.2,153.35,92.50002,box 3,10
1.8:  13.2,153.35,74.30002,box 3,10
1.82:  13.2,153.35,59.00002,box 3,10
1.83:  13.2,153.35,48.30003,box 3,10
1.85:  13.2,153.35,42.40002,box 3,10
1.87:  13.2,153.35,40.80003,box 3,10
1.88:  13.21037,153.3621,40.70002,box 3,10
1.9:  13.22823,153.3828,40.70002,box 3,10
1.91:  13.25708,153.4164,40.70002,box 3,10
1.93:  13.29615,153.4618,40.70002,box 3,10
1.95:  13.34477,153.5185,40.60003,box 3,10
1.96:  13.40199,153.5855,40.50003,box 3,10
1.98:  13.47015,153.6665,40.10003,box 3,10
2:  13.54514,153.7571,39.60003,box 3,10
2.01:  13.62853,153.8612,38.70003,box 3,10
2.03:  13.72221,153.9811,38.00002,box 3,10
2.05:  13.81944,154.1087,37.30003,box 3,10
2.06:  13.92767,154.2555,36.40002,box 3,10
2.08:  14.03831,154.4141,34.90002,box 3,10
2.1:  14.14922,154.5902,32.20003,box 3,10
2.11:  14.25398,154.789,27.80002,box 3,10
2.13:  14.34482,155.0093,22.40003,box 3,10
2.15:  14.4191,155.2508,17.10003,box 3,10
2.16:  14.47807,155.5125,12.70002,box 3,10
2.18:  14.52034,155.7953,8.500024,box 3,10
2.2:  14.55956,156.1057,7.200024,box 3,10
2.22:  14.59315,156.4005,6.500023,box 3,10
2.23:  14.6245,156.6988,6.000023,box 3,10
2.25:  14.65281,156.9929,5.500023,box 3,10
2.27:  14.6792,157.2944,5.000024,box 3,10
2.28:  14.7032,157.5927,4.600024,box 3,10
2.3:  14.72595,157.8953,4.300024,box 3,10
2.32:  14.74686,158.1944,4.000023,box 3,10
2.33:  14.7672,158.4928,3.900023,box 3,10
2.35:  14.78645,158.7905,3.700024,box 3,10
2.37:  14.80532,159.0903,3.600024,box 3,10
2.38:  14.82489,159.4014,3.600024,box 3,10
2.4:  14.84332,159.6943,3.600024,box 3,10
2.42:  14.86201,160,3.500024,box 3,10
2.43:  14.87984,160.2914,3.500024,box 3,10
2.45:  14.89847,160.596,3.500024,box 3,10
2.47:  14.91675,160.8949,3.500024,box 3,10
2.48:  14.93514,161.1955,3.500024,box 2,10
2.5:  14.95308,161.4889,3.500024,box 2,10
2.52:  14.97151,161.7901,3.500024,box 2,10
2.53:  14.98942,162.0831,3.500024,box 2,10
2.55:  15.00591,162.3526,3.500024,box 2,10
2.56:  15.02449,162.6564,3.500024,box 2,10
2.58:  15.04301,162.9592,3.500024,box 2,10
2.6:  15.06134,163.2589,3.500024,box 2,10
2.61:  15.07967,163.5585,3.500024,box 2,10
2.63:  15.09818,163.8613,3.500024,box 2,10
2.65:  15.11832,164.1905,3.500024,box 2,10
2.67:  15.13659,164.4892,3.500024,box 2,10
2.68:  15.15441,164.7805,3.500024,box 2,10
2.7:  15.17295,165.0837,3.500024,box 2,10
2.71:  15.18932,165.3513,3.500024,box 2,10
2.73:  15.20761,165.6503,3.500024,box 2,10
2.75:  15.2261,165.9527,3.500024,box 2,10
2.76:  15.24442,166.2521,3.500024,box 2,10
2.78:  15.26274,166.5517,3.500024,box 2,10
2.8:  15.28197,166.8661,3.500024,box 2,10
2.82:  15.301,167.1772,3.500024,box 2,10
2.83:  15.31989,167.4861,3.500024,box 2,10
2.85:  15.33774,167.7779,3.500024,box 2,10
2.87:  15.35637,168.0826,3.500024,box 2,10
2.88:  15.37421,168.3742,3.500024,box 2,10
2.9:  15.39321,168.6849,3.500024,box 2,10
2.91:  15.4106,168.9691,3.500024,box 2,10
2.93:  15.42926,169.2743,3.500024,box 2,10
2.95:  15.44761,169.5742,3.500024,box 2,10
2.97:  15.465,169.8759,3.300024,box 2,10
2.98:  15.48196,170.17,3.300024,box 2,10
3:  15.49943,170.4729,3.300024,box 2,10
3.02:  15.51591,170.7773,3.100024,box 2,10
3.03:  15.53185,171.0715,3.100024,box 2,10
3.05:  15.54784,171.3668,3.100024,box 2,10
3.07:  15.56441,171.6728,3.100024,box 2,10
3.08:  15.58044,171.9688,3.100024,box 2,10
3.1:  15.59681,172.2711,3.100024,box 2,10
3.12:  15.61284,172.567,3.100024,box 2,10
3.13:  15.62944,172.8735,3.100024,box 2,10
3.15:  15.64533,173.167,3.100024,box 2,10
3.17:  15.66187,173.4724,3.100024,box 2,10
3.18:  15.67771,173.7648,3.100024,box 2,10
3.2:  15.69406,174.0667,3.100024,box 2,10
3.22:  15.71009,174.3628,3.100024,box 2,10
3.23:  15.72642,174.6642,3.100024,box 2,10
3.25:  15.7425,174.9611,3.100024,box 2,10
3.27:  15.75881,175.2623,3.100024,box 2,10
3.28:  15.77477,175.557,3.100024,box 2,10
3.3:  15.79139,175.8638,3.100024,box 2,10
3.32:  15.80744,176.1602,3.100024,box 2,10
3.33:  15.82376,176.4615,3.100024,box 2,10
3.35:  15.83976,176.757,3.100024,box 2,10
3.37:  15.85634,177.0631,3.100024,box 2,10
3.38:  15.87216,177.3551,3.100024,box 2,10
3.4:  15.88921,177.6603,3.200024,box 2,10
3.42:  15.90609,177.9621,3.200024,box 2,10
3.43:  15.92265,178.2583,3.200024,box 2,10
3.45:  15.9397,178.5541,3.300024,box 2,10
3.46:  15.95736,178.8513,3.400024,box 2,10
3.48:  15.97766,179.1568,3.800024,box 2,10
3.5:  16.00083,179.4513,4.500024,box 2,10
3.51:  16.02944,179.7484,5.500024,box 2,10
3.53:  16.06479,180.0493,6.700023,box 2,10
3.55:  16.10859,180.3496,8.300025,box 2,10
3.57:  16.16106,180.6441,10.10002,box 2,10
3.58:  16.23026,180.9346,13.40002,box 2,10
3.6:  16.30896,181.2109,15.90002,box 1,10
3.61:  16.40339,181.4915,18.60002,box 1,10
3.63:  16.51133,181.7741,20.90002,box 1,10
3.65:  16.63785,182.0651,23.50002,box 1,10
3.67:  16.77143,182.339,26.00002,box 1,10
3.68:  16.91315,182.5989,28.60003,box 1,10
3.7:  17.07121,182.8579,31.40003,box 1,10
3.72:  17.23483,183.0995,34.10003,box 1,10
3.73:  17.41936,183.3462,36.80003,box 1,10
3.75:  17.60809,183.5743,39.60003,box 1,10
3.77:  17.82201,183.7982,43.70002,box 1,10
3.78:  18.0318,183.9959,46.70003,box 1,10
3.8:  18.26225,184.1941,49.30003,box 1,10
3.82:  18.495,184.3806,51.30003,box 1,10
3.83:  18.73926,184.5653,52.90003,box 1,10
3.85:  18.97753,184.7378,54.10003,box 1,10
3.87:  19.22445,184.91,55.10003,box 1,10
3.88:  19.47211,185.0784,55.80002,box 1,10
3.9:  19.7257,185.2481,56.20003,box 1,10
3.92:  19.97343,185.4127,56.40002,box 1,10
3.93:  20.22807,185.5806,56.60003,box 1,10
3.95:  20.47152,185.7399,56.80003,box 1,10
3.97:  20.73156,185.9081,57.10003,box 1,10
3.98:  20.97869,186.065,57.60003,box 1,10
4:  21.23549,186.2254,58.00003,box 1,10
4.02:  21.48754,186.3805,58.40003,box 1,10
4.03:  21.7469,186.5363,59.00003,box 1,10
4.05:  22.00063,186.6852,59.60003,box 1,10
4.07:  22.26864,186.8375,60.40003,box 1,10
4.08:  22.53054,186.9814,61.20003,box 1,10
4.1:  22.79436,187.1205,62.20002,box 1,9
4.11:  23.05053,187.2483,63.50002,box 1,9
4.13:  23.32517,187.3769,64.90002,box 1,9
4.15:  23.60172,187.4971,66.50003,box 1,9
4.17:  23.89778,187.6096,69.20003,box 1,9
4.18:  24.17191,187.7056,70.70003,box 1,9
4.2:  24.45701,187.8005,71.60003,box 1,9
4.22:  24.73992,187.8913,72.20003,box 1,9
4.23:  25.0334,187.9821,72.80003,box 1,9
4.25:  25.32066,188.0678,73.40002,box 1,9
4.27:  25.60651,188.1497,74.00002,box 1,9
4.28:  25.89814,188.2312,74.40002,box 1,9
4.3:  26.18467,188.309,74.80003,box 1,9
4.32:  26.47684,188.3851,75.40003,box 1,9
4.33:  26.7636,188.4556,76.20003,box 1,9
4.35:  27.06117,188.5242,77.00003,box 1,9
4.37:  27.35142,188.5859,78.00003,box 1,9
4.38:  27.65026,188.6424,79.30003,box 1,9
4.4:  27.93834,188.6968,79.30003,box 1,9
4.42:  28.2355,188.753,79.30003,box 1,9
4.43:  28.52879,188.8084,79.30003,box 1,9
4.45:  28.8248,188.8643,79.30003,box 1,9
4.47:  29.12045,188.9202,79.30003,box 1,9
4.48:  29.41492,188.9758,79.30003,box 1,9
4.5:  29.70713,189.0311,79.30003,box 1,9
4.52:  30.00683,189.0877,79.30003,box 1,9
4.53:  30.29645,189.1424,79.30003,box 1,9
4.55:  30.60317,189.2004,79.30003,box 1,9
4.57:  30.90158,189.2567,79.30003,box 1,9
4.58:  31.19693,189.3126,79.30003,box 1,9
4.6:  31.47124,189.3644,79.30003,box 1,9
4.61:  31.76252,189.4194,79.30003,box 1,9
4.63:  32.05592,189.4749,79.30003,box 1,9
4.65:  32.34755,189.53,79.30003,box 1,9
4.66:  32.64458,189.5861,79.30003,box 1,9
4.68:  32.94027,189.642,79.30003,box 1,9
4.7:  33.2473,189.7,79.30003,box 1,9
4.72:  33.5417,189.7556,79.30003,box 1,9
4.73:  33.8363,189.8113,79.30003,box 1,9
4.75:  34.13805,189.8683,79.30003,box 1,9
4.77:  34.42602,189.9227,79.30003,box 1,9
4.78:  34.72499,189.9792,79.30003,box 1,9
4.8:  35.01706,190.0344,79.30003,box 1,9
4.82:  35.31589,190.0908,79.30003,box 1,9
4.83:  35.60571,190.1456,79.30003,box 1,9
4.85:  35.90592,190.2023,79.30003,box 1,9
4.87:  36.19685,190.2573,79.30003,box 1,9
4.88:  36.49249,190.3132,79.30003,box 1,9
4.9:  36.78551,190.3685,79.30003,box 1,9
4.92:  37.08507,190.4251,79.30003,box 1,9
4.93:  37.37123,190.4792,79.30003,box 1,9
4.95:  37.68293,190.5381,79.30003,box 1,9
4.97:  37.98516,190.5947,79.40002,box 1,9
4.98:  38.27642,190.6492,79.40002,box 1,9
5:  38.57286,190.7052,79.30002,box 1,9
5.02:  38.86264,190.7599,79.30002,box 1,9
5.03:  39.15934,190.816,79.30002,box 1,9
5.05:  39.45127,190.8712,79.30002,box 1,9
5.06:  39.70789,190.9192,79.40002,box 1,9
5.08:  40.00291,190.9733,79.60002,box 1,9
5.1:  40.29701,191.0257,79.90003,box 1,9
5.12:  40.64162,191.0846,80.30003,box 1,9
5.13:  40.92797,191.1325,80.50003,box 1,9
5.15:  41.23348,191.1826,80.70004,box 1,9
5.17:  41.52143,191.2292,80.80003,box 1,9
5.18:  41.82212,191.2774,80.90003,box 1,9
5.2:  42.11211,191.3228,81.10004,box 1,9
5.22:  42.40941,191.3688,81.20004,box 1,9
5.23:  42.70676,191.4132,81.50004,box 1,8
5.25:  43.00298,191.457,81.60004,box 1,8
5.27:  43.29448,191.5,81.60004,box 1,8
5.28:  43.59673,191.5441,81.70004,box 1,8
5.3:  43.88371,191.586,81.70004,box 1,8
5.32:  44.19006,191.6301,81.80004,box 1,8
5.33:  44.47715,191.6715,81.80004,box 1,8
5.35:  44.78128,191.7148,81.90003,box 1,8
5.37:  45.07595,191.7551,82.20004,box 1,8
