0.02:  34.42233,31.67462,184.8998,
ParticipantNo: 221
ParticipantGen: 0
Date: 10/30/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_04
0.02:  133.4,210.1,179.9,
0.03:  133.4,210.1,180,box 6,10
0.05:  133.4,210.1,180.1,box 6,10
0.07:  133.4,210.1,180.5,box 6,10
0.08:  133.4,210.1,180.8,box 6,10
0.1:  133.4,210.1,181,box 6,10
0.12:  133.4,210.1,181,box 6,10
0.13:  133.4,210.1,181,box 6,10
0.15:  133.4,210.1,181.1,box 6,10
0.17:  133.4,210.1,181.1,box 6,10
0.18:  133.4,210.1,181.2,box 6,10
0.2:  133.4,210.1,181.2,box 6,10
0.22:  133.4,210.1,181.2,box 6,10
0.23:  133.4,210.1,181.2,box 6,10
0.25:  133.4,210.1,181.2,box 6,10
0.27:  133.4,210.1,181.2,box 6,10
0.28:  133.4,210.1,181.2,box 6,10
0.3:  133.4,210.1,181.2,box 6,10
0.32:  133.4,210.1,181.2,box 6,10
0.33:  133.4,210.1,181.2,box 6,10
0.35:  133.4,210.1,181.2,box 6,10
0.37:  133.4,210.1,181.2,box 6,10
0.38:  133.4,210.1,181.2,box 6,10
0.4:  133.4,210.1,181.2,box 6,10
0.42:  133.4,210.1,181.2,box 6,10
0.43:  133.4,210.1,181.2,box 6,10
0.45:  133.4,210.1,181.1,box 6,10
0.47:  133.4,210.1,181,box 6,10
0.48:  133.4,210.1,181,box 6,10
0.5:  133.4,210.1,181,box 6,10
0.52:  133.4,210.1,180.9,box 6,10
0.53:  133.4,210.1,180.9,box 6,10
0.55:  133.4,210.1,180.9,box 6,10
0.57:  133.4,210.1,180.9,box 6,10
0.58:  133.4,210.1,180.9,box 6,10
0.6:  133.4,210.1,180.9,box 6,10
0.62:  133.4,210.1,180.9,box 6,10
0.63:  133.4,210.1,180.9,box 6,10
0.65:  133.4,210.1,180.9,box 6,10
0.67:  133.4,210.1,180.9,box 6,10
0.68:  133.4,210.1,180.9,box 6,10
0.7:  133.4,210.1,180.9,box 6,10
0.72:  133.4,210.1,181,box 6,10
0.73:  133.4,210.1,181.1,box 6,10
0.75:  133.4,210.1,181.2,box 6,10
0.77:  133.4,210.1,181.2,box 6,10
0.78:  133.4,210.1,181.3,box 6,10
0.8:  133.4,210.1,181.3,box 6,10
0.82:  133.4,210.1,181.3,box 6,10
0.83:  133.4,210.1,181.3,box 6,10
0.85:  133.4,210.1,181.3,box 6,10
0.87:  133.4,210.1,181.3,box 6,10
0.88:  133.4,210.1,181.4,box 6,10
0.9:  133.4,210.1,181.4,box 6,10
0.92:  133.4,210.1,181.5,box 6,10
0.93:  133.4,210.1,181.6,box 6,10
0.95:  133.4,210.1,182,box 6,10
0.97:  133.4,210.1,182.7,box 6,10
0.98:  133.4,210.1,183.5,box 6,10
1:  133.4,210.1,184.7,box 6,10
1.02:  133.4,210.1,185.9,box 6,10
1.03:  133.4,210.1,187.2,box 6,10
1.05:  133.4,210.1,189.4,box 6,10
1.07:  133.4,210.1,191.1,box 6,10
1.08:  133.4,210.1,193.1,box 6,10
