0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
0.02:  32.7,90.6,182,
0.03:  32.7,90.6,182,box 1,4
0.05:  32.7,90.6,182,box 1,4
0.07:  32.7,90.6,182,box 1,4
0.08:  32.7,90.6,182,box 1,4
0.1:  32.7,90.6,182,box 1,4
0.12:  32.7,90.6,182,box 1,4
0.13:  32.7,90.6,182,box 1,4
0.15:  32.7,90.6,182,box 1,4
0.17:  32.7,90.6,182,box 1,4
0.18:  32.7,90.6,182,box 1,4
0.2:  32.7,90.6,182,box 1,4
0.22:  32.7,90.6,182,box 1,4
0.23:  32.7,90.6,182,box 1,4
0.25:  32.7,90.6,182,box 1,4
0.27:  32.7,90.6,182,box 1,4
0.28:  32.7,90.6,182,box 1,4
0.3:  32.7,90.6,182,box 1,4
0.32:  32.7,90.6,182,box 1,4
0.33:  32.7,90.6,182,box 1,4
0.35:  32.7,90.6,182,box 1,4
0.37:  32.7,90.6,182,box 1,4
0.38:  32.7,90.6,182,box 1,4
0.4:  32.7,90.6,182,box 1,4
0.42:  32.7,90.6,182,box 1,4
0.43:  32.7,90.6,182,box 1,4
0.45:  32.7,90.6,180.4,box 1,4
0.47:  32.7,90.6,179.1,box 1,4
0.48:  32.7,90.6,177.8,box 1,4
0.5:  32.7,90.6,176.1,box 1,4
0.52:  32.7,90.6,173.7,box 1,4
0.53:  32.7,90.6,170,box 1,4
0.55:  32.7,90.6,165.6,box 1,4
0.57:  32.7,90.6,161.1,box 1,4
0.58:  32.7,90.6,156.2,box 1,4
0.6:  32.7,90.6,151,box 1,4
0.62:  32.7,90.6,146.1,box 1,4
0.63:  32.7,90.6,141.6,box 1,4
0.65:  32.7,90.6,138,box 1,4
0.67:  32.7,90.6,133.6,box 1,4
0.68:  32.7,90.6,130.6,box 1,4
0.7:  32.7,90.6,127.1,box 1,4
0.72:  32.7,90.6,123,box 1,4
0.73:  32.7,90.6,119.1,box 1,4
0.75:  32.7,90.6,115.2,box 1,4
0.77:  32.7,90.6,111.8,box 1,4
0.78:  32.7,90.6,109.1,box 1,4
0.8:  32.7,90.6,107.4,box 1,4
0.82:  32.7,90.6,106.5,box 1,4
0.83:  32.7,90.6,105.5,box 1,4
0.85:  32.7,90.6,104.9,box 1,4
0.87:  32.7,90.6,103.9,box 1,4
0.88:  32.7,90.6,103.1,box 1,4
0.9:  32.7,90.6,102.7,box 1,4
0.92:  32.7,90.6,102.5,box 1,4
0.93:  32.7,90.6,102.5,box 1,4
0.95:  32.7,90.6,102.5,box 1,4
0.97:  32.7,90.6,102.5,box 1,4
0.98:  32.7,90.6,102.5,box 1,4
1:  32.7,90.6,102.5,box 1,4
1.02:  32.7,90.6,102.5,box 1,4
1.03:  32.7,90.6,102.5,box 1,4
1.05:  32.7,90.6,102.5,box 1,4
1.07:  32.7,90.6,102.5,box 1,4
1.08:  32.7,90.6,102.5,box 1,4
1.1:  32.7,90.6,102.5,box 1,4
1.12:  32.7,90.6,102.5,box 1,4
1.13:  32.71521,90.59663,102.5,box 1,4
1.15:  32.7444,90.59016,102.5,box 1,4
1.17:  32.78884,90.5803,102.5,box 1,4
1.18:  32.84695,90.56742,102.5,box 1,4
1.2:  32.92107,90.55099,102.5,box 1,4
1.22:  33.0088,90.53154,102.5,box 1,4
1.23:  33.11043,90.50901,102.5,box 1,4
