0.02:  193.4041,173.6997,96.90014,
ParticipantNo: 233b
ParticipantGen: 0
Date: 11/7/2017
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_19
0.02:  72.60001,151.2,91.60001,
0.03:  72.60001,151.2,91.60001,
0.05:  72.60001,151.2,91.60001,box 3,7
0.07:  72.60001,151.2,91.60001,box 3,7
0.08:  72.60001,151.2,91.60001,box 3,7
0.1:  72.60001,151.2,91.60001,box 3,7
0.12:  72.60001,151.2,91.60001,box 3,7
0.13:  72.60001,151.2,91.60001,box 3,7
0.15:  72.60001,151.2,91.60001,box 3,7
0.17:  72.60001,151.2,91.60001,box 3,7
0.18:  72.60001,151.2,91.60001,box 3,7
0.2:  72.60001,151.2,91.60001,box 3,7
0.22:  72.60001,151.2,91.60001,box 3,7
0.23:  72.60001,151.2,91.60001,box 3,7
0.25:  72.60001,151.2,91.60001,box 3,7
0.27:  72.60001,151.2,91.60001,box 3,7
0.28:  72.60001,151.2,91.60001,box 3,7
0.3:  72.60001,151.2,91.60001,box 3,7
0.32:  72.60001,151.2,91.60001,box 3,7
0.33:  72.60001,151.2,91.60001,box 3,7
0.35:  72.60001,151.2,91.60001,box 3,7
0.37:  72.60001,151.2,91.60001,box 3,7
0.38:  72.60001,151.2,91.60001,box 3,7
0.4:  72.60001,151.2,91.60001,box 3,7
0.42:  72.60001,151.2,91.60001,box 3,7
0.43:  72.60001,151.2,91.60001,box 3,7
0.45:  72.60001,151.2,91.60001,box 3,7
0.47:  72.60001,151.2,91.60001,box 3,7
0.48:  72.60001,151.2,91.60001,box 3,7
0.5:  72.60001,151.2,91.60001,box 3,7
0.52:  72.60001,151.2,91.60001,box 3,7
0.53:  72.60001,151.2,91.60001,box 3,7
0.55:  72.60001,151.2,91.60001,box 3,7
0.57:  72.60001,151.2,91.60001,box 3,7
0.58:  72.60001,151.2,91.60001,box 3,7
0.6:  72.60001,151.2,91.60001,box 3,7
0.62:  72.60001,151.2,91.60001,box 3,7
0.63:  72.60001,151.2,91.60001,box 3,7
0.65:  72.60001,151.2,91.60001,box 3,7
0.67:  72.60001,151.2,91.60001,box 3,7
0.68:  72.60001,151.2,91.60001,box 3,7
0.7:  72.60001,151.2,91.60001,box 3,7
0.72:  72.60001,151.2,91.60001,box 3,7
0.73:  72.60001,151.2,91.60001,box 3,7
0.75:  72.60001,151.2,91.60001,box 3,7
0.77:  72.60001,151.2,91.60001,box 3,7
0.78:  72.60001,151.2,91.60001,box 3,7
0.8:  72.60001,151.2,91.60001,box 3,7
0.82:  72.60001,151.2,91.60001,box 3,7
0.83:  72.60001,151.2,91.60001,box 3,7
0.85:  72.60001,151.2,91.60001,box 3,7
0.87:  72.60001,151.2,91.60001,box 3,7
0.88:  72.60001,151.2,91.60001,box 3,7
0.9:  72.60001,151.2,91.60001,box 3,7
0.92:  72.60001,151.2,91.60001,box 3,7
0.93:  72.60001,151.2,91.60001,box 3,7
0.95:  72.60001,151.2,91.60001,box 3,7
0.97:  72.60001,151.2,91.60001,box 3,7
0.98:  72.60001,151.2,91.60001,box 3,7
1:  72.60001,151.2,91.60001,box 3,7
1.02:  72.60001,151.2,91.60001,box 3,7
1.03:  72.60001,151.2,91.60001,box 3,7
1.05:  72.60001,151.2,91.60001,box 3,7
1.06:  72.60001,151.2,91.60001,box 3,7
1.08:  72.60001,151.2,91.7,box 3,7
1.1:  72.60001,151.2,91.7,box 3,7
1.12:  72.60001,151.2,91.7,box 3,7
1.13:  72.60001,151.2,91.7,box 3,7
1.15:  72.60001,151.2,91.7,box 3,7
1.17:  72.60001,151.2,91.7,box 3,7
1.18:  72.60001,151.2,91.7,box 3,7
1.2:  72.60001,151.2,91.7,box 3,7
1.22:  72.60001,151.2,91.7,box 3,7
1.23:  72.60001,151.2,91.7,box 3,7
1.25:  72.60001,151.2,91.49999,box 3,7
1.27:  72.60001,151.2,91.3,box 3,7
1.28:  72.60001,151.2,91.3,box 3,7
1.3:  72.60001,151.2,91.3,box 3,7
1.32:  72.60001,151.2,91.3,box 3,7
1.33:  72.60001,151.2,91.3,box 3,7
1.35:  72.60001,151.2,91.3,box 3,7
1.37:  72.60001,151.2,91.3,box 3,7
1.38:  72.60001,151.2,91.3,box 3,7
1.4:  72.60001,151.2,91.3,box 3,7
1.42:  72.60001,151.2,91.3,box 3,7
1.43:  72.60001,151.2,91.3,box 3,7
1.45:  72.60001,151.2,91.3,box 3,7
