0.02:  36.38782,31.74153,181.0999,
ParticipantNo: 239b
ParticipantGen: 1
Date: 11/8/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_24
0.02:  153.75,131.9,182.1,
0.03:  153.75,131.9,182.1,
0.05:  153.75,131.9,182.1,box 7,6
0.07:  153.75,131.9,182.1,box 7,6
0.08:  153.75,131.9,182.1,box 7,6
0.1:  153.75,131.9,182.1,box 7,6
0.12:  153.75,131.9,182.1,box 7,6
0.13:  153.75,131.9,182.1,box 7,6
0.15:  153.75,131.9,182.1,box 7,6
0.17:  153.75,131.9,182.1,box 7,6
0.18:  153.75,131.9,182.1,box 7,6
0.2:  153.75,131.9,182.1,box 7,6
0.22:  153.75,131.9,182.1,box 7,6
0.23:  153.75,131.9,182.1,box 7,6
0.25:  153.75,131.9,182.1,box 7,6
0.27:  153.75,131.9,182.1,box 7,6
0.28:  153.75,131.9,182.1,box 7,6
0.3:  153.75,131.9,182.1,box 7,6
0.32:  153.75,131.9,182.1,box 7,6
0.33:  153.75,131.9,182.1,box 7,6
0.35:  153.75,131.9,182.1,box 7,6
0.37:  153.75,131.9,182.1,box 7,6
0.38:  153.75,131.9,182.1,box 7,6
0.4:  153.75,131.9,182.1,box 7,6
0.42:  153.75,131.9,182.1,box 7,6
0.43:  153.75,131.9,182.1,box 7,6
0.45:  153.75,131.9,182.1,box 7,6
0.47:  153.75,131.9,182.1,box 7,6
0.48:  153.75,131.9,182.1,box 7,6
0.5:  153.75,131.9,182.1,box 7,6
0.52:  153.75,131.9,182.1,box 7,6
0.53:  153.75,131.9,182.1,box 7,6
0.55:  153.75,131.9,182.1,box 7,6
0.57:  153.75,131.9,182.1,box 7,6
0.58:  153.75,131.9,182.1,box 7,6
0.6:  153.75,131.9,182.1,box 7,6
0.62:  153.75,131.9,182.1,box 7,6
0.63:  153.75,131.9,182.1,box 7,6
0.65:  153.75,131.9,182.1,box 7,6
0.67:  153.75,131.9,182.1,box 7,6
0.68:  153.75,131.9,182.1,box 7,6
0.7:  153.75,131.9,182.1,box 7,6
0.72:  153.75,131.9,182.1,box 7,6
0.73:  153.75,131.9,182.1,box 7,6
0.75:  153.75,131.9,182.1,box 7,6
0.77:  153.75,131.9,182.1,box 7,6
0.78:  153.75,131.9,182.1,box 7,6
0.8:  153.75,131.9,182.1,box 7,6
0.82:  153.75,131.9,182.1,box 7,6
0.83:  153.75,131.9,182.1,box 7,6
0.85:  153.75,131.9,182.1,box 7,6
0.87:  153.75,131.9,182.1,box 7,6
0.88:  153.75,131.9,182.1,box 7,6
0.9:  153.75,131.9,182.1,box 7,6
0.92:  153.75,131.9,182.1,box 7,6
0.93:  153.75,131.9,182.1,box 7,6
0.95:  153.75,131.9,182.1,box 7,6
0.97:  153.75,131.9,182.1,box 7,6
0.98:  153.75,131.9,182.1,box 7,6
1:  153.75,131.9,182.1,box 7,6
1.02:  153.75,131.9,182.1,box 7,6
1.03:  153.75,131.9,182.1,box 7,6
1.05:  153.75,131.9,182.1,box 7,6
1.07:  153.75,131.9,182.1,box 7,6
1.08:  153.75,131.9,182.1,box 7,6
1.1:  153.75,131.9,182.1,box 7,6
1.12:  153.75,131.9,182.1,box 7,6
1.13:  153.75,131.9,182.1,box 7,6
1.15:  153.75,131.9,182.1,box 7,6
1.17:  153.75,131.9,182.1,box 7,6
1.18:  153.75,131.9,182.1,box 7,6
1.2:  153.75,131.9,182.1,box 7,6
1.22:  153.75,131.9,182.1,box 7,6
1.23:  153.75,131.9,182.1,box 7,6
1.25:  153.75,131.9,182.1,box 7,6
1.27:  153.75,131.9,182.1,box 7,6
1.28:  153.75,131.9,182.1,box 7,6
1.3:  153.75,131.9,182.1,box 7,6
1.32:  153.75,131.9,182.1,box 7,6
1.33:  153.75,131.9,182.1,box 7,6
1.35:  153.75,131.9,182.1,box 7,6
1.37:  153.75,131.9,182.1,box 7,6
1.38:  153.75,131.9,182.1,box 7,6
1.4:  153.75,131.9,182.1,box 7,6
1.42:  153.75,131.9,182.1,box 7,6
1.43:  153.75,131.9,182.1,box 7,6
1.45:  153.75,131.9,182.1,box 7,6
1.47:  153.75,131.9,182.1,box 7,6
1.48:  153.75,131.9,182.1,box 7,6
1.5:  153.75,131.9,182.1,box 7,6
1.52:  153.75,131.9,182.1,box 7,6
1.53:  153.75,131.9,182.3,box 7,6
1.55:  153.75,131.9,183.6,box 7,6
1.57:  153.75,131.9,185.6,box 7,6
1.58:  153.75,131.9,187.9,box 7,6
1.6:  153.75,131.9,190.6,box 7,6
1.62:  153.75,131.9,193.3,box 7,6
1.63:  153.75,131.9,195.9,box 7,6
1.65:  153.75,131.9,198.6,box 7,6
1.67:  153.75,131.9,201.1,box 7,6
1.68:  153.75,131.9,203.9,box 7,6
1.7:  153.75,131.9,205.3,box 7,6
1.72:  153.75,131.9,206.5,box 7,6
1.73:  153.75,131.9,207.7,box 7,6
1.75:  153.75,131.9,209,box 7,6
1.77:  153.75,131.9,210.8,box 7,6
1.78:  153.75,131.9,212.7,box 7,6
1.8:  153.75,131.9,214.4,box 7,6
1.82:  153.75,131.9,216.1,box 7,6
1.83:  153.75,131.9,217.8,box 7,6
1.85:  153.75,131.9,219.2,box 7,6
1.87:  153.75,131.9,220.7,box 7,6
1.88:  153.75,131.9,221.5,box 7,6
1.9:  153.75,131.9,222.4,box 7,6
1.92:  153.75,131.9,223.6,box 7,6
1.93:  153.75,131.9,225.1,box 7,6
1.95:  153.75,131.9,226.9,box 7,6
1.97:  153.75,131.9,229,box 7,6
1.98:  153.75,131.9,231.1,box 7,6
2:  153.75,131.9,232.9,box 7,6
2.02:  153.75,131.9,234.2,box 7,6
2.03:  153.75,131.9,235.4,box 7,6
2.05:  153.75,131.9,236.3,box 7,6
2.07:  153.75,131.9,237.1,box 7,6
2.08:  153.75,131.9,238.6,box 7,6
2.1:  153.75,131.9,240,box 7,6
2.12:  153.75,131.9,241.4,box 7,6
2.13:  153.75,131.9,242.9,box 7,6
2.15:  153.75,131.9,244.4001,box 7,6
2.17:  153.75,131.9,245.9,box 7,6
2.18:  153.75,131.9,247.3,box 7,6
2.2:  153.75,131.9,248.5,box 7,6
2.22:  153.75,131.9,249.2,box 7,6
2.23:  153.75,131.9,249.8,box 7,6
2.25:  153.75,131.9,250.4001,box 7,6
2.27:  153.75,131.9,251.1,box 7,6
2.28:  153.75,131.9,251.8,box 7,6
2.3:  153.75,131.9,252.5,box 7,6
2.32:  153.75,131.9,252.9,box 7,6
2.33:  153.75,131.9,253.3,box 7,6
2.35:  153.75,131.9,253.5,box 7,6
2.37:  153.75,131.9,253.7,box 7,6
2.38:  153.75,131.9,253.9001,box 7,6
2.4:  153.75,131.9,254.1,box 7,6
2.42:  153.75,131.9,254.3,box 7,6
2.43:  153.75,131.9,254.5001,box 7,6
2.45:  153.75,131.9,254.7,box 7,6
2.47:  153.75,131.9,255.2,box 7,6
2.48:  153.75,131.9,255.5001,box 7,6
2.5:  153.75,131.9,255.7,box 7,6
2.52:  153.75,131.9,255.8,box 7,6
2.53:  153.75,131.9,255.8,box 7,6
2.55:  153.75,131.9,255.8,box 7,6
2.57:  153.75,131.9,255.9001,box 7,6
2.58:  153.75,131.9,255.9001,box 7,6
2.6:  153.75,131.9,256.2,box 7,6
2.62:  153.75,131.9,256.6,box 7,6
2.63:  153.75,131.9,257.3,box 7,6
2.65:  153.75,131.9,258.2,box 7,6
2.67:  153.75,131.9,259.7001,box 7,6
2.68:  153.75,131.9,261.1,box 7,6
2.7:  153.75,131.9,262.0001,box 7,6
2.72:  153.75,131.9,262.7,box 7,6
2.73:  153.75,131.9,263.0001,box 7,6
2.75:  153.75,131.9,263.1,box 7,6
2.77:  153.75,131.9,263.1,box 7,6
2.78:  153.75,131.9,263.1,box 7,6
2.8:  153.75,131.9,263.1,box 7,6
2.82:  153.75,131.9,263.1,box 7,6
2.83:  153.75,131.9,263.1,box 7,6
2.85:  153.75,131.9,263.1,box 7,6
2.87:  153.75,131.9,263.1,box 7,6
2.88:  153.75,131.9,263.1,box 7,6
2.9:  153.75,131.9,263.1,box 7,6
2.92:  153.75,131.9,263.1,box 7,6
2.93:  153.75,131.9,263.1,box 7,6
2.95:  153.75,131.9,263.1,box 7,6
2.97:  153.75,131.9,263.1,box 7,6
2.98:  153.75,131.9,263.1,box 7,6
3:  153.75,131.9,263.1,box 7,6
3.02:  153.7346,131.8981,263.1,box 7,6
3.03:  153.7054,131.8946,263.1,box 7,6
3.05:  153.6649,131.8897,263.1,box 7,6
3.07:  153.6083,131.8828,263.1,box 7,6
3.08:  153.5341,131.8739,263.1,box 7,6
3.1:  153.445,131.8631,263.1,box 7,6
3.12:  153.3379,131.8501,263.1,box 7,6
3.13:  153.2133,131.8351,263.1,box 7,6
3.15:  153.0938,131.8206,263.1,box 7,6
3.17:  152.9432,131.8024,263.1,box 7,6
3.18:  152.7816,131.7828,263.1,box 7,6
3.2:  152.6026,131.7611,263.1,box 7,6
3.22:  152.4037,131.7371,263.1,box 7,6
3.23:  152.1855,131.7107,263.1,box 7,6
3.25:  151.9618,131.6836,263.1,box 7,6
3.27:  151.7216,131.6545,263.1,box 7,6
3.28:  151.4716,131.6243,263.1,box 7,6
3.3:  151.2031,131.5918,263.1,box 7,6
3.32:  150.9211,131.5577,263.1,box 7,6
3.33:  150.6212,131.5214,263.1,box 7,6
3.35:  150.3254,131.4856,263.1,box 7,6
3.37:  150.0248,131.4492,263.1,box 7,6
3.38:  149.7266,131.4131,263.1,box 7,6
3.4:  149.4327,131.3775,263.1,box 7,6
3.42:  149.1374,131.3418,263.1,box 7,6
3.43:  148.8343,131.3051,263.1,box 7,6
3.45:  148.5354,131.269,263.1,box 7,6
3.47:  148.2373,131.2329,263.1,box 7,6
3.48:  147.9413,131.1971,263.1,box 7,6
3.5:  147.6433,131.161,263.1,box 7,6
3.52:  147.3447,131.1249,263.1,box 7,6
3.53:  147.0497,131.0892,263.1,box 7,6
3.55:  146.7452,131.0523,263.1,box 7,6
3.57:  146.4776,131.0199,263.1,box 7,6
3.58:  146.1798,130.9839,263.1,box 7,6
3.6:  145.8822,130.9479,263.1,box 7,6
3.62:  145.5813,130.9115,263.1,box 7,6
3.63:  145.2785,130.8748,263.1,box 7,6
3.65:  144.958,130.836,263.1,box 6,6
3.67:  144.6596,130.7999,263.1,box 6,6
3.68:  144.3666,130.7645,263.1,box 6,6
3.7:  144.0613,130.7275,263.1,box 6,6
3.72:  143.7697,130.6923,263.1,box 6,6
3.73:  143.4714,130.6562,263.1,box 6,6
3.75:  143.1755,130.6203,263.1,box 6,6
3.77:  142.8738,130.5838,263.1,box 6,6
3.78:  142.5793,130.5482,263.1,box 6,6
3.8:  142.2804,130.512,263.1,box 6,6
3.82:  141.9829,130.476,263.1,box 6,6
3.83:  141.6862,130.4401,263.1,box 6,6
3.85:  141.387,130.4039,263.1,box 6,6
3.87:  141.0909,130.3681,263.1,box 6,6
3.88:  140.7913,130.3318,263.1,box 6,6
3.9:  140.4891,130.2953,263.1,box 6,6
3.92:  140.2002,130.2603,263.1,box 6,6
3.93:  139.9,130.224,263.1,box 6,6
3.95:  139.6004,130.1877,263.1,box 6,6
3.97:  139.302,130.1516,263.1,box 6,6
3.98:  139.0047,130.1156,263.1,box 6,6
4:  138.71,130.08,263.1,box 6,6
4.02:  138.411,130.0438,263.1,box 6,6
4.03:  138.1111,130.0075,263.1,box 6,6
4.05:  137.8207,129.9724,263.1,box 6,6
4.07:  137.5425,129.9387,263.1,box 6,6
4.08:  137.2451,129.9027,263.1,box 6,6
4.1:  136.943,129.8661,263.1,box 6,6
4.12:  136.6404,129.8295,263.1,box 6,6
4.13:  136.3256,129.7914,263.1,box 6,6
4.15:  136.0583,129.7591,263.1,box 6,6
4.17:  135.7582,129.7228,263.1,box 6,6
4.18:  135.4614,129.6868,263.1,box 6,6
4.2:  135.1615,129.6506,263.1,box 6,6
4.22:  134.8625,129.6144,263.1,box 6,6
4.23:  134.5646,129.5783,263.1,box 6,6
4.25:  134.264,129.5419,263.1,box 6,6
4.27:  133.9648,129.5057,263.1,box 6,6
4.28:  133.6694,129.47,263.1,box 6,6
4.3:  133.3701,129.4338,263.1,box 6,6
4.32:  133.0735,129.3979,263.1,box 6,6
4.33:  132.7751,129.3618,263.1,box 6,6
4.35:  132.4783,129.3259,263.1,box 6,6
4.37:  132.1808,129.2899,263.1,box 6,6
4.38:  131.8832,129.2538,263.1,box 6,6
4.4:  131.5856,129.2178,263.1,box 6,6
4.42:  131.2851,129.1718,261.3,box 6,6
4.43:  130.9701,129.1236,261.3,box 6,6
4.45:  130.6684,129.0644,258.9001,box 6,6
4.47:  130.3557,128.9997,258.3,box 6,6
4.48:  130.087,128.9436,258.2,box 6,6
4.5:  129.7956,128.8827,258.2,box 6,6
4.52:  129.5013,128.8212,258.2,box 6,6
4.53:  129.2028,128.7583,258.1,box 6,6
4.55:  128.9148,128.6976,258.1,box 6,6
4.57:  128.6437,128.638,257.6,box 6,6
4.58:  128.3492,128.5662,256.3,box 6,6
4.6:  128.0616,128.4864,254.5001,box 6,6
4.62:  127.7762,128.3965,252.5001,box 6,6
4.63:  127.4879,128.2927,250.2,box 6,6
4.65:  127.1956,128.1758,248.2,box 6,6
4.67:  126.9,128.0491,246.8,box 6,6
4.68:  126.6403,127.9345,246.2,box 6,6
4.7:  126.3537,127.8051,245.7,box 6,6
4.72:  126.0943,127.6836,244.9,box 6,6
4.73:  125.8183,127.549,244,box 6,6
4.75:  125.5603,127.4176,243,box 6,6
4.77:  125.2953,127.2748,241.7,box 5,6
4.78:  125.0362,127.1265,240.2,box 5,6
4.8:  124.7783,126.969,238.6,box 5,6
4.82:  124.5273,126.8073,237.2,box 5,6
4.83:  124.2747,126.6369,236,box 5,6
4.85:  124.0337,126.4675,234.9,box 5,6
4.87:  123.7887,126.2895,234,box 5,6
4.88:  123.5489,126.1082,232.9,box 5,6
4.9:  123.3084,125.9223,232.3,box 5,6
4.92:  123.0789,125.7398,231.5,box 5,6
4.93:  122.8419,125.5451,230.6,box 5,6
4.95:  122.6169,125.3549,229.8,box 5,6
4.97:  122.387,125.1544,228.9,box 5,6
4.98:  122.1692,124.9575,227.9,box 5,6
5:  121.9439,124.7467,226.9,box 5,6
5.02:  121.7357,124.5429,225.6,box 5,6
5.03:  121.5199,124.321,224.2,box 5,6
5.05:  121.3195,124.1045,222.8,box 5,6
5.07:  121.1229,123.8831,221.6,box 5,6
5.09:  120.9091,123.6283,220,box 5,5
5.1:  120.7517,123.4374,219.5,box 5,5
5.12:  120.5707,123.2049,217.9,box 5,5
5.13:  120.3874,122.9581,216.6,box 5,5
5.15:  120.2167,122.7151,215.1001,box 5,5
5.17:  120.0531,122.467,213.4,box 5,5
5.18:  119.895,122.209,211.5,box 5,5
5.2:  119.7471,121.9518,209.9001,box 5,5
5.22:  119.6006,121.6853,208.8,box 5,5
5.23:  119.4482,121.4,208.1001,box 5,5
5.25:  119.3086,121.1329,207.6001,box 5,5
5.27:  119.1713,120.867,207.3,box 5,5
5.28:  119.0359,120.6001,206.9,box 5,5
5.3:  118.9029,120.3355,206.7,box 5,5
5.32:  118.7686,120.0649,206.4,box 5,5
5.33:  118.635,119.7947,206.3,box 5,5
5.35:  118.4996,119.5184,206.1001,box 5,5
5.37:  118.3719,119.2565,206,box 5,5
5.38:  118.2402,118.9854,205.9,box 5,5
5.4:  118.1071,118.7112,205.9,box 5,5
5.42:  117.9762,118.4415,205.9,box 5,5
5.43:  117.849,118.1795,205.9,box 5,5
5.45:  117.7171,117.9079,205.9,box 5,5
5.47:  117.5874,117.6397,205.8,box 5,5
5.48:  117.4563,117.3637,205.4,box 5,5
5.5:  117.3296,117.0968,205.4,box 5,5
5.52:  117.2042,116.8304,205.2,box 5,5
5.53:  117.0746,116.5524,205,box 5,5
5.55:  116.949,116.2817,204.9001,box 5,5
5.57:  116.8243,116.0106,204.7,box 5,5
5.58:  116.6973,115.7321,204.5,box 5,5
5.6:  116.5693,115.4499,204.4001,box 5,5
5.62:  116.4495,115.1833,204.2,box 5,5
5.63:  116.3291,114.9141,204.1,box 5,5
5.65:  116.2096,114.6431,203.8,box 5,5
5.67:  116.0897,114.366,203.4,box 5,5
5.68:  115.9728,114.0921,203.1001,box 5,5
5.7:  115.857,113.8124,202.5,box 5,5
5.72:  115.7441,113.5372,202.3,box 5,5
5.73:  115.6315,113.2612,202.2,box 5,5
5.75:  115.5145,112.9744,202.2,box 5,5
5.77:  115.4054,112.7072,202.2,box 5,5
5.78:  115.2895,112.4232,202.2,box 5,5
5.8:  115.1776,112.149,202.2,box 5,5
5.82:  115.0655,111.8742,202.2,box 5,5
5.83:  114.9506,111.5928,202.2,box 5,5
5.85:  114.8373,111.3152,202.2,box 5,5
5.87:  114.7206,111.0278,202.1,box 5,5
5.88:  114.6113,110.7584,202.1,box 5,5
5.9:  114.5007,110.4863,202.1,box 5,5
5.92:  114.384,110.1988,202.1,box 5,5
5.93:  114.2753,109.931,202.1,box 5,5
5.95:  114.1619,109.6519,202.1,box 5,5
5.97:  114.0496,109.3754,202.1,box 5,5
5.98:  113.9361,109.0956,202.1,box 5,5
6:  113.8236,108.8186,202.1,box 5,5
6.02:  113.709,108.5365,202.1,box 5,5
6.03:  113.5968,108.2601,202.1,box 5,5
6.05:  113.483,107.9799,202.1,box 5,5
6.07:  113.3721,107.7067,202.1,box 5,5
6.08:  113.2663,107.4462,202.1,box 5,5
6.1:  113.156,107.1747,202.1,box 5,5
6.12:  113.0402,106.8893,202.1,box 5,5
6.13:  112.9268,106.6101,202.1,box 5,5
6.15:  112.814,106.3323,202.1,box 5,5
6.17:  112.7015,106.0554,202.1,box 5,5
6.18:  112.5868,105.7727,202.1,box 5,5
6.2:  112.4707,105.4868,202.1,box 5,5
6.22:  112.3565,105.2058,202.1,box 5,5
6.23:  112.2425,104.9249,202.1,box 5,5
6.25:  112.1283,104.6437,202.1,box 5,5
6.27:  112.0145,104.3634,202.1,box 5,5
6.28:  111.9031,104.0891,202.1,box 5,5
6.3:  111.787,103.8142,202.9,box 5,5
6.32:  111.6629,103.5382,204.2,box 5,4
6.33:  111.5364,103.2716,205.4,box 5,4
6.35:  111.3999,102.9956,206.3,box 5,4
6.37:  111.2679,102.7331,206.7,box 5,4
6.38:  111.131,102.462,206.8,box 5,4
6.4:  110.9958,102.1966,207,box 5,4
6.42:  110.8556,101.9307,207.8,box 5,4
6.43:  110.7107,101.6715,209.2,box 5,4
6.45:  110.5555,101.4112,210.8,box 5,4
6.47:  110.3988,101.1642,212.4001,box 5,4
6.48:  110.2273,100.9091,213.9001,box 5,4
6.5:  110.0488,100.666,216.3,box 5,4
